Station_Names,YEAR,Month,Temprature,Rainfall
Barisal,1950,2,31.7,90
Barisal,1950,3,36.1,13
Barisal,1950,4,37.2,66
Barisal,1950,5,36.1,87
Barisal,1950,6,33.9,476
Barisal,1950,7,32.2,546
Barisal,1950,8,32.8,337
Barisal,1950,9,33.9,187
Barisal,1950,10,33.3,339
Barisal,1950,11,32.9,98
Barisal,1950,12,30.1,0
Bogra,1950,1,25.8,0
Bogra,1950,2,29.7,18
Bogra,1950,3,34.2,36
Bogra,1950,4,35.9,2
Bogra,1950,5,34.1,123
Bogra,1950,6,33.5,180
Bogra,1950,7,32,158
Bogra,1950,8,32.2,555
Bogra,1950,9,32.5,102
Bogra,1950,10,32.1,182
Bogra,1950,11,30.7,21
Bogra,1950,12,28.1,0
Chittagong (IAP-Patenga),1950,1,27.8,0
Chittagong (IAP-Patenga),1950,2,30,44
Chittagong (IAP-Patenga),1950,3,33.9,2
Chittagong (IAP-Patenga),1950,4,34.4,102
Chittagong (IAP-Patenga),1950,5,36.7,175
Chittagong (IAP-Patenga),1950,6,33.9,1676
Chittagong (IAP-Patenga),1950,7,32.7,997
Chittagong (IAP-Patenga),1950,8,32.2,669
Chittagong (IAP-Patenga),1950,9,36.1,179
Chittagong (IAP-Patenga),1950,10,32.8,187
Chittagong (IAP-Patenga),1950,11,32.1,93
Chittagong (IAP-Patenga),1950,12,29.2,0
Comilla,1950,1,29.4,0
Comilla,1950,2,31.6,19
Comilla,1950,3,35.6,26
Comilla,1950,4,37.4,28
Comilla,1950,5,36.7,257
Comilla,1950,6,33,426
Comilla,1950,7,33.6,266
Comilla,1950,8,31.9,530
Comilla,1950,9,33.3,183
Comilla,1950,10,32.1,297
Comilla,1950,11,29.9,258
Comilla,1950,12,28.6,0
Cox's Bazar,1950,1,30,0
Cox's Bazar,1950,2,30.9,50
Cox's Bazar,1950,3,34.4,11
Cox's Bazar,1950,4,34.4,20
Cox's Bazar,1950,5,35.3,202
Cox's Bazar,1950,6,33.3,790
Cox's Bazar,1950,7,32.3,1368
Cox's Bazar,1950,8,32.2,744
Cox's Bazar,1950,9,34.2,440
Cox's Bazar,1950,10,32.4,241
Cox's Bazar,1950,11,32.1,88
Cox's Bazar,1950,12,30.6,0
Dinajpur,1950,1,27.8,0
Dinajpur,1950,2,31.1,0
Dinajpur,1950,3,33.9,19
Dinajpur,1950,4,37.2,0
Dinajpur,1950,5,37.2,93
Dinajpur,1950,6,36.3,393
Dinajpur,1950,7,35,189
Dinajpur,1950,8,33.9,288
Dinajpur,1950,9,35.3,111
Dinajpur,1950,10,34.1,0
Dinajpur,1950,11,33.3,0
Dinajpur,1950,12,28.2,0
Faridpur,1950,1,25.3,0
Faridpur,1950,2,29.1,14
Faridpur,1950,3,32.4,0
Faridpur,1950,4,36.8,38
Faridpur,1950,5,33.9,375
Faridpur,1950,6,33.2,708
Faridpur,1950,7,31,419
Faridpur,1950,8,31.1,441
Faridpur,1950,9,32.4,161
Faridpur,1950,10,31.7,166
Faridpur,1950,11,29.7,165
Faridpur,1950,12,25.4,0
Jessore,1950,1,29.3,0
Jessore,1950,2,33.4,13
Jessore,1950,3,36.3,17
Jessore,1950,4,37.5,42
Jessore,1950,5,37.3,77
Jessore,1950,6,37.4,557
Jessore,1950,7,34.3,281
Jessore,1950,8,34,327
Jessore,1950,9,36.7,126
